Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
Command Deck: The Alliance,1,Alliance Procurement | Rules (Part 2 of 3),"Once each turn, you may gain {2 Trade} or put the next ship or base you acquire on top of your deck.",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Alliance,1,Fleet Director Nandi | Rules (Part 3 of 3),"<i>(Hand Size: 5, Starting Authority: 68)</i>",Legendary Commander,,,,Commander | Rules,
Command Deck: The Alliance,1,Scorecard (40-70) | Scorecard (00-30),,,,,,Scorecard,
Command Deck: The Alliance,1,Scorecard (00-09) | Scorecard (80-89),,,,,,Scorecard,
Command Deck: The Alignment,1,Mech Battleship,"You may scrap up to two cards from your hand and/or discard pile. Draw cards equal to the number of cards scrapped this way, then discard an equal number of cards.
<hr>
{Alignment Ally (Machine Cult or Star Empire)}: {Gain 6 Combat}",Ship,Machine Cult / Star Empire,8,,Trade Deck,
Command Deck: The Alignment,1,Imperial Talon,"{Gain 2 Combat}
<hr>
{Star Empire Ally}: {Gain 2 Combat}",Ship,Star Empire,,,Trade Deck,
Command Deck: The Alignment,1,Imperial Viper,"{Gain 1 Combat}
<hr>
{Star Empire Ally}: You may discard a card. If you do, draw a card.",Ship,Unaligned,,,Trade Deck,
Command Deck: The Alignment,1,Ranger,{Gain 1 Trade} OR {Gain 2 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Alignment,1,Salvage Drone,"{Gain 1 Trade}
OR scrap a card in your hand or discard pile.",Ship,Machine Cult,,,Trade Deck,
Command Deck: The Alignment,4,Scout,{Gain 1 Trade},Ship,Unaligned,,,Trade Deck,
Command Deck: The Alignment,1,Scout Bot,"{Gain 1 Trade}
<hr>
{Machine Cult Ally}: Choose a card of cost two or less in your discard pile. Put it on top of your deck.",Ship,Unaligned,,,Trade Deck,
Command Deck: The Alignment,1,Stellar Falcon,"{Gain 2 Combat}
<hr>
{Star Empire Ally}: Target opponent discards a card.",Ship,Star Empire,,,Trade Deck,
Command Deck: The Alignment,1,Viper,{Gain 1 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Alignment,1,Welder Drone,{Gain 2 Trade} OR {Gain 2 Combat},Ship,Machine Cult,,,Trade Deck,
Command Deck: The Alignment,1,Le's Foray | Rules (Part 1 of 3),"{Scrap}:
{Gain a Star Empire Ally} {Gain a Machine Cult Ally}
You may scrap a card in your hand or discard pile. If you do, draw a card.",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Alignment,1,Alignment Ingenuity | Rules (Part 2 of 3),"Whenever you use a {Scrap} ability of a ship or base, you may draw a card, then discard a card.",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Alignment,1,Divine Admiral Le | Rules (Part 3 of 3),"<i>(Hand Size: 6, Starting Authority: 64)</i>",Legendary Commander | Rules,,,,Commander | Rules,
Command Deck: The Alignment,1,Scorecard (40-70) | Scorecard (00-30),,Scorecard,,,,Scorecard,
Command Deck: The Alignment,1,Scorecard (00-09) | Scorecard (80-89),,Scorecard,,,,Scorecard,
Frontiers Kickstarter Promo Pack,1,Ad (Thank You Backers) | Rules (Kickstarter Promo Pack),,Rules,,,,Rules,
Frontiers Kickstarter Promo Pack,1,Assimilator,"{Gain 5 Trade} OR {Gain 8 Combat}
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: Scrap this card from play. Move a card from an opponent’s discard pile to yours.",Ship,Machine Cult,7,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Assur 4,"{Gain 5 Authority}
<hr>
{Trade Federation Ally}: {Gain 2 Trade}
<hr>
{Double Trade Federation Ally}: Draw a card.",Base,Trade Federation,5,5,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Blockade Runner,"Discard up to two cards, then draw that many cards.
<hr>
{Star Empire Ally}: Scrap this card from play. Draw a card. Target opponent discards a card.",Ship,Star Empire,1,,Trade Deck,
Frontiers Kickstarter Promo Pack,3,Cargo Rocket,"{Gain 3 Authority} {Gain 2 Combat} {Gain 1 Trade}
<hr>
{Trade Federation Ally}: Scrap this card from play. Put the next ship you acquire this turn on top of your deck.",Ship,Trade Federation,1,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Converter,"Whenever you scrap a card from your hand or discard pile, gain {2 Combat}
<hr>
{Machine Cult Ally}: Scrap a card from your hand.
<hr>
{Double Machine Cult Ally}: Scrap a card from your discard pile.",Base,Machine Cult,5,6 Outpost,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Demolisher,"{Gain 6 Combat}
Draw a card.
<hr>
{Star Empire Ally}: Scrap this card from play. Draw two cards. Target opponent discards two cards.",Ship,Star Empire,7,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Freight Raft,"{Gain 2 Trade} {Gain 4 Authority}
<b>Trade Federation Docking:</b> During the discard phase, if you have a {Trade Federation} base in play, set this card aside. At the end of the draw phase, return it to your hand.",Ship,Trade Federation,3,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Imperial Defender,"{Gain 1 Combat} Draw a card.
<b>Star Empire Docking:</b> During the discard phase, if you have a {Star Empire} base in play, set this card aside. At the end of the draw phase, return it to your hand.",Ship,Star Empire,3,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Midgate Station,"Discard any number of cards. Gain {Trade} or {Combat} equal to the number of cards discarded plus 1.
<hr>
{Star Empire Ally}: Target opponent discards a card.
<hr>
{Double Star Empire Ally}: Draw a card.",Base,Star Empire,5,5 Outpost,Trade Deck,
Frontiers Kickstarter Promo Pack,3,Plague Pod,"{Gain 2 Trade}
<hr>
{Blob Ally}: Scrap this card from play. Gain {6 Combat}",Ship,Blob,1,,Trade Deck,
Frontiers Kickstarter Promo Pack,3,Recycle Bot,"{Gain 1 Trade}
You may scrap a card in your hand.
<hr>
{Machine Cult Ally}: Scrap this card from play. Scrap a card in your hand or discard pile.",Ship,Machine Cult,1,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Sentinel,"{Gain 5 Combat}
<b>Blob Docking:</b> During the discard phase, if you have a {Blob} base in play, set this card aside. At the end of the draw phase, return it to your hand.",Ship,Blob,3,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Spawning Wurm,"{Gain 8 Combat}
You may destroy target base.
<hr>
{Blob Ally}: Scrap this card from play. Gain {8 Combat}",Ship,Blob,7,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Swarming Point,"{Gain 3 Combat}
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
{Double Blob Ally}: {Gain 3 Combat}",Base,Blob,5,5,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Temple Guardian,"{Gain 2 Trade} OR {Gain 4 Combat}
<b>Machine Cult Docking:</b> During the discard phase, if you have a {Machine Cult} base in play, set this card aside. At the end of the draw phase, return it to your hand.",Ship,Machine Cult,3,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,The Colossus,"{Gain 10 Combat}
Choose a faction as you play The Colossus. The Colossus has that faction. Draw a card for each card of that faction you have in play (including The Colossus).",Ship,Unaligned,9,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Trade Envoy,"{Gain 3 Trade} {Gain 5 Authority}
Draw a card.
<hr>
{Trade Federation Ally}: Scrap this card from play. Put the next ship or base you acquire this turn into your hand.",Ship,Trade Federation,7,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Mobilization,"Each player may look at the top four cards of their deck, put any number of those cards into their discard pile, then put the remaining cards back on top of their deck in any order.",Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Patience Rewarded,"Each player may scrap a card in the trade row, then set it aside. For the rest of the game, players may acquire the card they set aside as if it were in the trade row.",Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Powerful Backing,"The player currently taking their turn gains
{1 Trade} {Two Machine Cult Allies} {Two Star Empire Allies} {Two Trade Federation Allies} {Two Blob Allies}
Each other player gains
{5 Authority}",Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Recon Mission,Each player may acquire an Explorer for free and put it into their hand.,Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Superflare,"Each player shuffles their discard pile into their deck, then draws a card.",Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Supply Run,Each player may either acquire an Explorer for free and put it on top of their deck or put a card from their discard pile on top of their deck.,Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,2,Tactical Maneuver,"The player currently taking their turn chooses to gain either {2 Trade} or {4 Combat}
Each other player chooses to either gain {6 Authority} or draw a card.",Event,,,,Trade Deck,
Frontiers Kickstarter Promo Pack,1,Wormhole,Each player may either put a card from their discard pile into their hand or draw a card.,Event,,,,Trade Deck,
Year 2 Promo Pack,1,Bounty Hunter,"{Gain 7 Combat}
<hr>
{Trade Federation Ally}: {Gain 5 Authority}",Ship,Trade Federation,5,,Trade Deck,
Year 2 Promo Pack,1,Cargo Mech,"{Gain 4 Trade}
You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: Destroy target base.",Ship,Machine Cult,5,,Trade Deck,
"Year 2 Promo Pack,
Organized Play Season 5",2,Federal Transport,"{Gain 1 Trade} {Gain 5 Authority}
<hr>
{Trade Federation Ally}: {Gain 2 Trade}",Ship,Trade Federation,2,,Trade Deck,
Year 2 Promo Pack,2,Imperial Smuggler,"{Gain 3 Combat}
Draw a card, then discard a card.
<hr>
{Scrap}: {Gain 2 Trade}",Ship,Star Empire,2,,Trade Deck,
Year 2 Promo Pack,1,Knightstar,"{Gain 6 Combat}
If an opponent has a base in play, gain an additional {3 Combat}
<hr>
{Star Empire Ally}: Draw a card.",Ship,Star Empire,5,,Trade Deck,
Year 2 Promo Pack,2,Probe Bot,"{Gain 1 Trade} You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: Draw a card.
<hr>
{Scrap}: {Gain 3 Combat}",Ship,Machine Cult,2,,Trade Deck,
"Year 2 Promo Pack,
Organized Play Season 5",1,Stellar Ray,"{Gain 3 Trade}
Draw a card.
<hr>
{Scrap}: {Gain 6 Combat}",Ship,Blob,5,,Trade Deck,
Year 2 Promo Pack,2,War Kite,"{Gain 5 Combat}
<hr>
{Scrap}: Destroy target base.",Ship,Blob,2,,Trade Deck,
Frontiers,1,Blob Alpha,{Gain 10 Combat},Ship,Blob,6,,Trade Deck,
Frontiers,3,Blob Miner,"{Gain 3 Trade}
You may scrap a card in the trade row.
<hr>
{Scrap}: {Gain 2 Combat}",Ship,Blob,2,,Trade Deck,
Frontiers,2,Burrower,"{Gain 5 Combat}
<hr>
{Blob Ally}: Draw a card.
<hr>
{Scrap}: Acquire a card of cost four or less for free.",Ship,Blob,3,,Trade Deck,
Frontiers,2,Crusher,"{Gain 6 Combat}
<hr>
{Blob Ally}: {Gain 2 Trade}",Ship,Blob,3,,Trade Deck,
Frontiers,1,Hive Queen,"{Gain 7 Combat} Draw a card.
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
{Double Blob Ally}: {Gain 3 Combat}",Ship,Blob,7,,Trade Deck,
Frontiers,1,Infested Moon,"{Gain 4 Combat}
<hr>
{Blob Ally}: Draw a card.
<hr>
{Double Blob Ally}: Draw a card.",Base,Blob,6,5,Trade Deck,
Frontiers,2,Moonwurm Hatchling,"{Gain 3 Trade} or destroy target base.
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
{Double Blob Ally}: {Gain 3 Combat}",Ship,Blob,4,,Trade Deck,
Frontiers,1,Nesting Ground,"{Gain 2 Trade}
<hr>
{Blob Ally}: {Gain 4 Combat}",Base,Blob,4,5,Trade Deck,
Frontiers,1,Pulverizer,"Scrap a card in the trade row, and gain {Combat} equal to its cost.
<hr>
{Blob Ally}: Draw a card.",Ship,Blob,5,,Trade Deck,
Frontiers,2,Spike Cluster,"{Gain 2 Combat}
<hr>
{Blob Ally}: {Gain 1 Trade}",Base,Blob,2,3,Trade Deck,
Frontiers,3,Stinger,"{Gain 3 Combat}
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
{Scrap}: {Gain 1 Trade}",Ship,Blob,1,,Trade Deck,
Frontiers,1,Swarm Cluster,"{Gain 5 Combat}
<hr>
{Blob Ally}: {Gain 3 Combat}
<hr>
{Double Blob Ally}: {Gain 3 Combat}",Base,Blob,8,8,Trade Deck,
Frontiers,3,Builder Bot,"{Gain 1 Trade} You may scrap a card in your discard pile.
<hr>
{Machine Cult Ally}: {Gain 1 Trade}
<hr>
{Scrap}: {Gain 2 Combat}",Ship,Machine Cult,1,,Trade Deck,
Frontiers,1,Conversion Yard,"You may scrap a card in your hand. If you do, gain {4 Combat}",Base,Machine Cult,5,4 Outpost,Trade Deck,
Frontiers,2,Defense System,"{Gain 2 Combat}
<hr>
{Machine Cult Ally}: {Gain 2 Combat}",Base,Machine Cult,4,5 Outpost,Trade Deck,
Frontiers,3,Destroyer Bot,"{Gain 5 Combat}
You may scrap a card in your discard pile.",Ship,Machine Cult,3,,Trade Deck,
Frontiers,1,Enforcer Mech,"{Gain 5 Combat} You may scrap a card in your hand or discard pile.
<hr>
{Machine Cult Ally}: Destroy target base.
<hr>
{Scrap}: Draw a card.",Ship,Machine Cult,5,,Trade Deck,
Frontiers,2,Integration Port,{Gain 1 Trade},Base,Machine Cult,3,5 Outpost,Trade Deck,
Frontiers,1,Nanobot Swarm,"{Gain 5 Combat}
Draw two cards. You may scrap up to two cards in your hand and/or discard pile.",Ship,Machine Cult,8,,Trade Deck,
Frontiers,1,Neural Nexus,"Scrap a card in your hand or discard pile and gain {Combat} equal to its cost.
<hr>
{Machine Cult Ally}: Draw a card.",Base,Machine Cult,7,6 Outpost,Trade Deck,
Frontiers,3,Plasma Bot,"{Gain 3 Combat}
You may scrap a card in your hand.
<hr>
{Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,2,,Trade Deck,
Frontiers,1,Reclamation Station,"Scrap a card in your discard pile.
<hr>
{Scrap}: Gain {3 Combat} for each of your cards that you scrapped this turn (including this one).",Base,Machine Cult,6,6 Outpost,Trade Deck,
Frontiers,2,Repair Mech,"{Gain 3 Trade} OR
Put a base from your discard pile on top of your deck.
<hr>
{Machine Cult Ally}: You may scrap a card in your hand or discard pile.",Ship,Machine Cult,4,,Trade Deck,
Frontiers,2,Captured Outpost,"Draw a card, then discard a card.",Base,Star Empire,3,3 Outpost,Trade Deck,
Frontiers,3,Cargo Craft,"{Gain 2 Trade}
Target opponent discards a card.
<hr>
{Star Empire Ally}: {Gain 4 Combat}",Ship,Star Empire,2,,Trade Deck,
Frontiers,2,Farm Ship,"{Gain 3 Trade}
Draw a card, then discard a card.
<hr>
{Scrap}: {Gain 4 Combat}",Ship,Star Empire,4,,Trade Deck,
Frontiers,3,Frontier Hawk,"{Gain 3 Combat}
Draw a card, then discard a card.",Ship,Star Empire,1,,Trade Deck,
Frontiers,1,Hammerhead,"{Gain 3 Combat}
Draw a card. Target opponent discards a card.
<hr>
{Star Empire Ally}: Draw a card, then discard a card.",Ship,Star Empire,5,,Trade Deck,
Frontiers,1,Imperial Flagship,"{Gain 7 Combat}
Draw two cards.
<hr>
{Star Empire Ally}: Target player discards a card.",Ship,Star Empire,8,,Trade Deck,
Frontiers,1,Jamming Terminal,"{Gain 2 Combat}
Target opponent discards a card.",Base,Star Empire,5,6,Trade Deck,
Frontiers,3,Light Cruiser,"{Gain 4 Combat} Target opponent discards a card.
<hr>
{Star Empire Ally}: {Gain 2 Combat}
<hr>
{Double Star Empire Ally}: Draw a card.",Ship,Star Empire,3,,Trade Deck,
Frontiers,2,Orbital Gun Platform,"{Gain 3 Combat}
<hr>
{Scrap}: {Gain 3 Trade}",Base,Star Empire,4,4 Outpost,Trade Deck,
Frontiers,1,Siege Fortress,"{Gain 5 Combat}
<hr>
{Star Empire Ally}: {Gain 4 Combat}",Base,Star Empire,7,5 Outpost,Trade Deck,
Frontiers,1,Warpgate Cruiser,"Discard any number of cards and gain {2 Combat} for each. Draw a card.
<hr>
{Star Empire Ally}: Draw a card.",Ship,Star Empire,6,,Trade Deck,
Frontiers,1,Federation Battleship,"{Gain 5 Combat} {Gain 5 Authority} Draw a card.
<hr>
{Trade Federation Ally}: Destroy target base.
<hr>
{Scrap}: {Gain 10 Authority}",Ship,Trade Federation,7,,Trade Deck,
Frontiers,1,Federation Cruiser,"{Gain 5 Combat} {Gain 4 Authority}
<hr>
{Trade Federation Ally}: {Gain 2 Combat} {Gain 2 Authority}",Ship,Trade Federation,5,,Trade Deck,
Frontiers,3,Frontier Runner,{Gain 2 Trade} {Gain 2 Authority},Ship,Trade Federation,1,,Trade Deck,
Frontiers,1,Gateship,"Acquire a ship or base of cost six or less for free, and put it on top of your deck.
<hr>
{Trade Federation Ally}: {Gain 5 Authority}",Ship,Trade Federation,6,,Trade Deck,
Frontiers,1,Ion Station,"{Gain 2 Trade}
<hr>
{Trade Federation Ally}: {Gain 1 Trade}
<hr>
{Double Trade Federation Ally}: {Gain 4 Combat} {Gain 4 Authority}",Base,Trade Federation,5,5 Outpost,Trade Deck,
Frontiers,2,Long Hauler,"{Gain 3 Trade}
<hr>
{Trade Federation Ally}: {Gain 2 Trade}
<hr>
{Scrap}: Put the next base you acquire this turn on top of your deck.",Ship,Trade Federation,4,,Trade Deck,
Frontiers,2,Mobile Market,"{Gain 2 Trade}
<hr>
{Scrap}: Gain {2 Authority} and draw a card. At end of turn, move Mobile Market from the scrap heap to your discard pile.",Base,Trade Federation,4,4 Outpost,Trade Deck,
Frontiers,3,Orbital Shuttle,"{Gain 3 Trade}
If you have two or more bases in play, gain {4 Authority} and draw a card.",Ship,Trade Federation,2,,Trade Deck,
Frontiers,3,Outland Station,"{Gain 1 Trade} OR {Gain 3 Authority}
<hr>
{Scrap}: Draw a card.",Base,Trade Federation,3,4,Trade Deck,
Frontiers,2,Patrol Boat,"{Gain 4 Combat} {Gain 3 Authority}
<hr>
{Trade Federation Ally}: {Gain 2 Authority}",Ship,Trade Federation,3,,Trade Deck,
Frontiers,1,Transit Nexus,{Gain 3 Combat} {Gain 4 Trade} {Gain 5 Authority},Base,Trade Federation,8,6,Trade Deck,
Frontiers,16,Explorer,"{Gain 2 Trade}
<hr>
{Scrap}: {Gain 2 Combat}",Ship,Unaligned,2,,Trade Deck,
Frontiers,32,Scout,{Gain 1 Trade},Ship,Unaligned,,,Trade Deck,
Frontiers,8,Viper,{Gain 1 Combat},Ship,Unaligned,,,Trade Deck,
Frontiers,1,Scorecard (40-70) | Scorecard (00-30),,Scorecard,Green,,,Scorecard,
Frontiers,1,Scorecard (00-09) | Scorecard (80-89),,Scorecard,Green,,,Scorecard,
Frontiers,1,Scorecard (40-70) | Scorecard (00-30),,Scorecard,Red,,,Scorecard,
Frontiers,1,Scorecard (00-09) | Scorecard (80-89),,Scorecard,Red,,,Scorecard,
Frontiers,1,Scorecard (40-70) | Scorecard (00-30),,Scorecard,Yellow,,,Scorecard,
Frontiers,1,Scorecard (00-09) | Scorecard (80-89),,Scorecard,Yellow,,,Scorecard,
Frontiers,1,Scorecard (40-70) | Scorecard (00-30),,Scorecard,Blue,,,Scorecard,
Frontiers,1,Scorecard (00-09) | Scorecard (80-89),,Scorecard,Blue,,,Scorecard,
Frontiers,1,Automatons | Rules (Automatons),,Challenge,,,,Challenge,
Frontiers,1,Blob Assault | Rules (Blob Assault),,Challenge,,,,Challenge,
Frontiers,1,Defy the Empire | Rules (Defy the Empire),,Challenge,,,,Challenge,
Frontiers,1,Dimensional Horror | Rules (Dimensional Horror),,Challenge,,,,Challenge,
Frontiers,1,Madness of the Machine | Rules (Madness of the Machine),,Challenge,,,,Challenge,
Frontiers,1,Nemesis Beast | Rules (Nemesis Beast),,Challenge,,,50 x Players,Challenge,
Frontiers,1,Pirates of the Dark Star | Rules (Pirates of the Dark Star),,Challenge,,,25 x Players,Challenge,
Frontiers,1,The Cost of Freedom | Rules (The Cost of Freedom),,Challenge,,,,Challenge,
Scenarios,1,Border Skirmish,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Buyer’s Market,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Commitment to the Cause,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Early Recruitment,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Emergency Repairs,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Entrenched Loyalties,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Flare Mining,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Fleeting Opportunities,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Frantic Preparations,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Frontier Expedition,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Maximum Warp,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Picking Sides,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Prolonged Conflict,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Rapid Construction,,Scenario,Unaligned,,,Scenario,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - A card only goes on top of your deck if it would normally go to your discard pile. Heroes enter play as normal."
Scenarios,1,Ready Reserves,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Recruiting Drive,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Rushed Defenses,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Ruthless Efficiency,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Total War,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Warpgate Nexus,,Scenario,Unaligned,,,Scenario,
Scenarios,1,Rules (Scenarios) | Ad (Hero Realms),,Rules,,,,Rules,
United: Missions,1,Ally,,Mission,Unaligned,,,Mission,
United: Missions,1,Armada,,Mission,Unaligned,,,Mission,
United: Missions,1,Colonize,,Mission,Unaligned,,,Mission,
United: Missions,1,Convert,,Mission,Unaligned,,,Mission,
United: Missions,1,Defend,,Mission,Unaligned,,,Mission,
United: Missions,1,Diversify,,Mission,Unaligned,,,Mission,
United: Missions,1,Dominate,,Mission,Unaligned,,,Mission,
United: Missions,1,Exterminate,,Mission,Unaligned,,,Mission,
United: Missions,1,Influence,,Mission,Unaligned,,,Mission,
United: Missions,1,Monopolize,,Mission,Unaligned,,,Mission,
United: Missions,1,Rule,,Mission,Unaligned,,,Mission,
United: Missions,1,Unite,,Mission,Unaligned,,,Mission,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - Objective clarified."
United: Missions,1,Rules (Missions) | Ad (Hero Realms),,Rules,,,,Rules,
United: Heroes,1,CEO Shaner,"{Gain a Trade Federation Ally}
You may acquire a ship or base of cost three or less for free and put it on top of your deck.
<hr>
{Scrap}: {Gain a Trade Federation Ally} Draw a card.",Hero,Unaligned,5,,Trade Deck,
United: Heroes,2,Chairman Haygan,"{Gain a Trade Federation Ally} {Gain 4 Authority}
<hr>
{Scrap}: {Gain a Trade Federation Ally} {Gain 4 Authority}",Hero,Unaligned,3,,Trade Deck,
United: Heroes,2,Chancellor Hartman,"{Gain a Machine Cult Ally}
You may scrap a card in your hand or discard pile.
<hr>
{Scrap}: {Gain a Machine Cult Ally} You may scrap a card in your hand or discard pile.",Hero,Unaligned,4,,Trade Deck,
United: Heroes,2,Commander Klik,"{Gain a Star Empire Ally}
You may discard a card. If you do, draw a card.
<hr>
{Scrap}: {Gain a Star Empire Ally} You may discard a card. If you do, draw a card.",Hero,Unaligned,4,,Trade Deck,
United: Heroes,1,Commodore Zhang,"{Gain a Star Empire Ally} {Gain 4 Combat}
Target opponent discards a card.
<hr>
{Scrap}: {Gain a Star Empire Ally} Draw a card.",Hero,Unaligned,5,,Trade Deck,
United: Heroes,1,Confessor Morris,"{Gain a Machine Cult Ally}
You may scrap up to two cards in your hand and/or discard pile.
<hr>
{Scrap}: {Gain a Machine Cult Ally} Draw a card.",Hero,Unaligned,5,,Trade Deck,
United: Heroes,1,Hive Lord,"{Gain a Blob Ally} {Gain 5 Combat}
Scrap any number of cards currently in the trade row.
<hr>
{Scrap}: {Gain a Blob Ally} Draw a card.",Hero,Unaligned,5,,Trade Deck,
United: Heroes,2,Screecher,"{Gain a Blob Ally} {Gain 2 Combat}
You may scrap a card in the trade row.
<hr>
{Scrap}: {Gain a Blob Ally} {Gain 2 Combat} You may scrap a card in the trade row.",Hero,Unaligned,3,,Trade Deck,
United: Heroes,1,Rules (Heroes) | Rules (Hero Faction Abilities),,Rules,,,,Rules,
United: Command,2,Alliance Frigate,"{Gain 4 Combat}
<hr>
{Star Empire Ally}: {Gain 3 Combat}
<hr>
{Trade Federation Ally}: {Gain 5 Authority}",Ship,Star Empire / Trade Federation,3,,Trade Deck,
United: Command,1,Alliance Landing,"{Gain 2 Trade}
<hr>
{Alliance Ally (Star Empire or Trade Federation)}: {Gain 2 Combat}",Base,Star Empire / Trade Federation,5,5 Outpost,Trade Deck,
United: Command,2,Assault Pod,"{Gain 3 Combat}
<hr>
{Union Ally (Blob or Star Empire)}: Draw a card.",Ship,Blob / Star Empire,2,,Trade Deck,
United: Command,1,Coalition Fortress,"{Gain 2 Trade}
<hr>
{Coalition Ally (Machine Cult or Trade Federation)}: {Gain 2 Combat} OR {Gain 3 Authority}",Base,Trade Federation / Machine Cult,6,6 Outpost,Trade Deck,
United: Command,2,Coalition Freighter,"{Gain 3 Trade}
<hr>
{Trade Federation Ally}: Put the next ship you acquire this turn on top of your deck.
<hr>
{Machine Cult Ally}: Scrap a card in your hand or discard pile.",Ship,Trade Federation / Machine Cult,4,,Trade Deck,
United: Command,1,Union Cluster,"{Gain 4 Combat}
<hr>
{Union Ally (Blob or Star Empire)}: Draw a card.",Base,Blob / Star Empire,8,8,Trade Deck,
United: Command,2,Unity Fighter,"{Gain 3 Combat}
You may scrap a card in the trade row.
<hr>
{Scrap}: You may scrap a card in your hand or discard pile.",Ship,Blob / Machine Cult,1,,Trade Deck,
United: Command,1,Unity Station,"Scrap a card in your hand or discard pile. You may scrap a card in the trade row.
<hr>
{Unity Ally (Blob or Machine Cult)}: {Gain 4 Combat}",Base,Blob / Machine Cult,7,6 Outpost,Trade Deck,
United: Command,1,Rules (Faction Pairs) | Ad (Hero Realms),,Rules,,,,Rules,
United: Assault,2,Alliance Transport,"{Gain 2 Trade}
<hr>
{Star Empire Ally}: Target opponent discards a card.
<hr>
{Trade Federation Ally}: {Gain 4 Authority}",Ship,Star Empire / Trade Federation,2,,Trade Deck,
United: Assault,2,Blob Bot,"{Gain 5 Combat}
<hr>
{Blob Ally}: {Gain 2 Trade}
<hr>
{Machine Cult Ally}: Scrap a card in your hand or discard pile.",Ship,Blob / Machine Cult,3,,Trade Deck,
United: Assault,2,Coalition Messenger,"{Gain 2 Trade}
<hr>
{Coalition Ally (Machine Cult or Trade Federation)}: Choose a card of cost five or less in your discard pile and put it on top of your deck.",Ship,Machine Cult / Trade Federation,3,,Trade Deck,
United: Assault,1,Embassy Base,"Draw two cards, then discard a card.",Base,Star Empire / Trade Federation,8,6,Trade Deck,
United: Assault,1,Exchange Point,"{Gain 2 Combat}
<hr>
{Unity Ally (Blob or Machine Cult)}: Scrap a card in your hand, your discard pile, or the trade row.",Base,Blob / Machine Cult,6,7,Trade Deck,
United: Assault,1,Lookout Post,Draw a card.,Base,Machine Cult / Trade Federation,7,6 Outpost,Trade Deck,
United: Assault,2,Trade Star,"{Gain 2 Trade}
<hr>
{Scrap}: {Gain 2 Combat}",Ship,Blob / Star Empire,1,,Trade Deck,
United: Assault,1,Union Stronghold,"{Gain 3 Combat}
<hr>
{Blob Ally}: Scrap a card in the trade row.
<hr>
{Star Empire Ally}: Target opponent discards a card.",Base,Blob / Star Empire,5,5,Trade Deck,
United: Assault,1,Rules (Faction Pairs) | Ad (Hero Realms),,Rules,,,,Rules,
